,A01,A02,A03,A09,A10,A11,A12,A14,A15,A16,B01_011,B01_012,B01_013,B02_001,B02_002,B02_003,B02_004,B02_005,B02_006,B02_007,B02_008,B02_010,B03_014,B04_009,S01,S02,S03,S04,time
0,35.5,45.6,30044.0,485.0,35.1,51.7,19092.0,304.0,0.9,,,,,,,,,,,,,,,,29.3,22.5,0.5,10.6,2018-06-09 00:00:00
1,35.2,45.9,30228.0,482.0,35.5,51.6,19861.0,314.0,0.3,,,,,,,,,,,,,,,,29.6,22.5,0.5,10.4,2018-06-09 00:05:00
2,35.3,44.0,35758.0,475.0,36.7,48.3,20591.0,275.0,1.3,,,,,,,,,,,,,,,,29.3,22.7,0.5,10.3,2018-06-09 00:10:00
3,35.1,45.4,35573.0,473.0,38.4,43.3,21002.0,230.0,0.0,,,,,,,,,,,,,,,,29.7,22.5,0.5,10.3,2018-06-09 00:15:00
4,34.7,44.6,38338.0,474.0,37.6,46.1,21247.0,299.0,0.5,,,,,,,,,,,,,,,,29.2,22.5,0.4,10.2,2018-06-09 00:20:00
5,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 00:21:01
6,34.9,45.9,35205.0,471.0,39.0,43.6,21265.0,275.0,0.8,,,,,,,,,,,,,,,,29.8,22.5,0.5,10.2,2018-06-09 00:25:00
7,35.5,43.5,37969.0,472.0,39.5,41.1,21471.0,175.0,0.8,,,,,,,,,,,,,,,,30.1,22.5,0.5,10.1,2018-06-09 00:30:00
8,35.2,44.7,37048.0,471.0,39.6,40.6,21759.0,290.0,1.1,,,,,,,,,,,,,,,,30.0,22.5,0.4,9.9,2018-06-09 00:35:00
9,35.1,45.2,40366.0,471.0,39.1,42.1,21557.0,117.0,0.7,,,,,,,,,,,,,,,,30.2,22.3,0.5,9.9,2018-06-09 00:40:00
10,36.0,43.6,35573.0,471.0,38.9,41.1,21758.0,101.0,0.4,,,,,,,,,,,,,,,,30.7,22.3,0.5,9.8,2018-06-09 00:45:00
11,36.3,42.1,39444.0,468.0,38.0,42.4,21824.0,104.0,1.3,,,,,,,,,,,,,,,,30.8,22.5,0.5,9.8,2018-06-09 00:50:00
12,36.4,40.9,38891.0,468.0,38.9,42.5,21887.0,288.0,0.0,,,,,,,,,,,,,,,,30.6,22.3,0.5,9.8,2018-06-09 00:55:00
13,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 00:56:00
14,35.9,41.9,38154.0,465.0,39.6,40.8,22438.0,322.0,0.5,,,,,,,,,,,,,,,,30.5,22.6,0.5,9.8,2018-06-09 01:00:00
15,36.2,42.2,41472.0,462.0,39.5,40.4,22590.0,358.0,0.2,,,,,,,,,,,,,,,,31.0,22.5,0.5,9.8,2018-06-09 01:05:00
16,36.6,41.1,45711.0,457.0,38.2,42.5,22964.0,125.0,0.7,,,,,,,,,,,,,,,,31.5,22.5,0.5,9.8,2018-06-09 01:10:00
17,36.0,41.9,43683.0,457.0,37.5,43.7,22986.0,12.0,1.3,,,,,,,,,,,,,,,,30.7,22.5,0.5,9.7,2018-06-09 01:15:00
18,36.0,41.4,43499.0,454.0,37.1,44.8,22941.0,291.0,1.0,,,,,,,,,,,,,,,,30.8,22.3,0.5,9.7,2018-06-09 01:20:00
19,35.9,41.3,43315.0,451.0,37.2,44.8,22883.0,335.0,1.1,,,,,,,,,,,,,,,,30.7,22.3,0.5,9.6,2018-06-09 01:25:00
20,36.8,39.3,42946.0,451.0,37.3,45.3,22978.0,276.0,1.1,,,,,,,,,,,,,,,,31.3,22.5,0.5,9.5,2018-06-09 01:30:00
21,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 01:31:01
22,37.1,39.7,44236.0,449.0,37.9,43.1,23226.0,246.0,0.6,,,,,,,,,,,,,,,,31.7,22.3,0.5,9.5,2018-06-09 01:35:00
23,37.9,38.9,28016.0,446.0,39.2,41.4,23062.0,227.0,0.2,,,,,,,,,,,,,,,,32.2,22.2,0.5,9.5,2018-06-09 01:40:00
24,37.9,36.3,24883.0,445.0,38.3,42.5,23215.0,322.0,1.3,,,,,,,,,,,,,,,,31.8,22.2,0.5,9.4,2018-06-09 01:45:00
25,38.3,38.3,43683.0,442.0,39.5,39.8,23055.0,220.0,0.1,,,,,,,,,,,,,,,,32.9,22.3,0.5,9.4,2018-06-09 01:50:00
26,38.2,37.4,45158.0,445.0,39.9,40.2,22938.0,301.0,1.4,,,,,,,,,,,,,,,,32.2,22.3,0.5,9.4,2018-06-09 01:55:00
27,37.3,36.8,45895.0,441.0,39.3,38.7,23272.0,93.0,0.9,,,,,,,,,,,,,,,,32.0,22.3,0.5,9.3,2018-06-09 02:00:00
28,37.2,37.5,47923.0,440.0,39.1,40.1,23636.0,46.0,0.8,,,,,,,,,,,,,,,,32.2,22.2,0.5,9.3,2018-06-09 02:05:00
29,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 02:06:02
30,36.7,36.6,50503.0,436.0,39.9,38.3,23472.0,3.0,0.0,,,,,,,,,,,,,,,,32.0,22.3,0.5,9.3,2018-06-09 02:10:00
31,36.8,34.1,55664.0,433.0,39.7,35.3,23560.0,139.0,0.4,,,,,,,,,,,,,,,,32.0,22.3,0.5,9.2,2018-06-09 02:15:00
32,37.3,35.8,53084.0,433.0,40.3,34.1,23283.0,297.0,0.3,,,,,,,,,,,,,,,,32.5,22.6,0.5,9.2,2018-06-09 02:20:00
33,37.4,33.7,51978.0,430.0,39.7,35.0,23533.0,112.0,1.7,,,,,,,,,,,,,,,,32.2,22.5,0.5,9.1,2018-06-09 02:25:00
34,38.0,32.7,52346.0,429.0,39.5,33.7,24001.0,169.0,1.0,,,,,,,,,,,,,,,,32.7,22.5,0.5,9.0,2018-06-09 02:30:00
35,37.3,35.3,54190.0,429.0,40.1,36.0,24476.0,69.0,1.3,,,,,,,,,,,,,,,,32.7,22.3,0.5,8.9,2018-06-09 02:35:00
36,38.0,34.7,52346.0,428.0,40.5,36.6,15508.0,149.0,1.7,,,,,,,,,,,,,,,,33.2,22.3,0.5,8.9,2018-06-09 02:40:00
37,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 02:41:00
38,37.6,37.6,15206.0,429.0,36.1,45.6,14416.0,96.0,1.8,,,,,,,,,,,,,,,,32.5,22.3,0.5,8.9,2018-06-09 02:45:00
39,36.9,39.3,61931.0,428.0,35.4,48.9,24246.0,102.0,1.6,,,,,,,,,,,,,,,,32.7,22.3,0.5,8.8,2018-06-09 02:50:00
40,37.7,37.9,50503.0,424.0,35.2,50.9,27180.0,101.0,3.1,,,,,,,,,,,,,,,,32.7,22.2,0.5,8.9,2018-06-09 02:55:00
41,37.5,39.3,43499.0,423.0,34.9,52.3,26831.0,93.0,2.3,,,,,,,,,,,,,,,,32.5,22.3,0.5,8.8,2018-06-09 03:00:00
42,37.8,38.7,42024.0,421.0,35.4,51.0,27328.0,95.0,4.4,,,,,,,,,,,,,,,,32.5,22.3,0.5,8.8,2018-06-09 03:05:00
43,37.7,39.9,40366.0,421.0,35.1,51.6,26626.0,99.0,1.8,,,,,,,,,,,,,,,,32.5,22.3,0.5,8.8,2018-06-09 03:10:00
44,37.7,39.3,46080.0,422.0,35.3,49.6,27899.0,104.0,3.5,,,,,,,,,,,,,,,,32.5,22.3,0.5,8.8,2018-06-09 03:15:00
45,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 03:16:03
46,37.6,39.5,42577.0,421.0,35.3,50.3,24870.0,97.0,1.8,,,,,,,,,,,,,,,,32.4,22.2,0.5,8.8,2018-06-09 03:20:00
47,37.9,38.7,46632.0,425.0,35.2,51.2,25880.0,27.0,0.7,,,,,,,,,,,,,,,,32.5,22.3,0.5,8.8,2018-06-09 03:25:00
48,38.1,38.0,23500.0,425.0,36.2,48.0,27078.0,98.0,3.6,,,,,,,,,,,,,,,,32.5,22.2,0.5,8.8,2018-06-09 03:30:00
49,37.8,38.8,23500.0,426.0,35.4,48.9,24849.0,92.0,2.6,,,,,,,,,,,,,,,,32.5,22.3,0.5,8.8,2018-06-09 03:35:00
50,37.4,39.2,23500.0,425.0,34.5,51.9,24611.0,125.0,1.3,,,,,,,,,,,,,,,,32.4,22.3,0.5,8.8,2018-06-09 03:40:00
51,37.7,39.6,23500.0,425.0,35.6,49.0,25398.0,98.0,3.0,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.8,2018-06-09 03:45:00
52,38.0,37.9,23500.0,426.0,35.6,47.5,25178.0,93.0,0.9,,,,,,,,,,,,,,,,33.4,22.2,0.5,8.8,2018-06-09 03:50:00
53,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 03:51:00
54,38.2,37.6,23500.0,425.0,36.8,44.5,26511.0,102.0,1.9,,,,,,,,,,,,,,,,33.5,22.2,0.5,8.8,2018-06-09 03:55:00
55,37.6,36.9,23500.0,424.0,36.0,48.4,24774.0,69.0,1.6,,,,,,,,,,,,,,,,32.5,22.2,0.5,8.8,2018-06-09 04:00:00
56,37.6,36.8,23500.0,427.0,35.9,48.2,26068.0,55.0,0.2,,,,,,,,,,,,,,,,33.2,22.2,0.5,8.8,2018-06-09 04:05:00
57,38.2,37.9,23500.0,423.0,36.8,44.5,26561.0,114.0,1.3,,,,,,,,,,,,,,,,34.2,22.2,0.5,8.8,2018-06-09 04:10:00
58,38.1,36.9,23500.0,421.0,37.7,44.7,25621.0,90.0,1.9,,,,,,,,,,,,,,,,33.5,22.2,0.5,8.8,2018-06-09 04:15:00
59,37.4,38.0,23500.0,421.0,38.3,42.6,26697.0,105.0,1.5,,,,,,,,,,,,,,,,34.0,22.2,0.5,8.8,2018-06-09 04:20:00
60,38.0,37.4,23500.0,420.0,37.5,43.9,27540.0,101.0,1.6,,,,,,,,,,,,,,,,34.0,22.2,0.5,8.8,2018-06-09 04:25:00
61,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 04:26:00
62,38.5,35.2,23500.0,422.0,37.5,45.7,26454.0,101.0,1.1,,,,,,,,,,,,,,,,33.7,22.2,0.5,8.8,2018-06-09 04:30:00
63,37.8,37.1,23500.0,424.0,37.7,44.1,28427.0,162.0,0.8,,,,,,,,,,,,,,,,33.7,22.1,0.5,8.8,2018-06-09 04:35:00
64,37.8,38.0,23500.0,420.0,37.0,44.2,20479.0,99.0,2.0,,,,,,,,,,,,,,,,34.0,22.5,0.5,8.8,2018-06-09 04:40:00
65,37.6,37.9,23500.0,421.0,37.3,43.3,28407.0,91.0,2.7,,,,,,,,,,,,,,,,34.0,22.3,0.5,8.7,2018-06-09 04:45:00
66,38.7,35.6,23500.0,421.0,38.1,42.5,26993.0,151.0,2.2,,,,,,,,,,,,,,,,34.2,22.3,0.5,8.7,2018-06-09 04:50:00
67,38.6,35.3,23500.0,421.0,36.5,43.7,26262.0,96.0,3.0,,,,,,,,,,,,,,,,34.0,22.2,0.5,8.7,2018-06-09 04:55:00
68,39.0,34.0,23500.0,424.0,37.0,42.9,29339.0,96.0,0.6,,,,,,,,,,,,,,,,34.5,22.2,0.5,8.7,2018-06-09 05:00:00
69,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 05:01:00
70,39.3,35.8,24698.0,423.0,37.8,40.3,28990.0,174.0,1.0,,,,,,,,,,,,,,,,34.5,22.2,0.5,8.7,2018-06-09 05:05:00
71,40.0,33.3,23777.0,421.0,39.3,39.4,29717.0,157.0,1.2,,,,,,,,,,,,,,,,35.5,22.3,0.5,8.6,2018-06-09 05:10:00
72,39.9,32.6,23961.0,420.0,38.6,42.6,26538.0,15.0,1.2,,,,,,,,,,,,,,,,35.0,22.2,0.5,8.6,2018-06-09 05:15:00
73,38.3,35.7,16128.0,420.0,38.9,39.0,20110.0,73.0,1.5,,,,,,,,,,,,,,,,34.0,22.3,0.5,8.6,2018-06-09 05:20:00
74,38.0,36.2,15390.0,419.0,36.4,43.3,19158.0,93.0,2.9,,,,,,,,,,,,,,,,33.9,22.2,0.5,8.6,2018-06-09 05:25:00
75,37.8,38.4,20183.0,419.0,36.5,44.9,26068.0,88.0,0.8,,,,,,,,,,,,,,,,33.7,22.2,0.5,8.6,2018-06-09 05:30:00
76,38.1,36.7,21288.0,420.0,37.3,44.4,26458.0,150.0,0.8,,,,,,,,,,,,,,,,33.7,22.2,0.5,8.6,2018-06-09 05:35:00
77,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 05:36:04
78,38.5,36.9,20183.0,416.0,38.3,42.3,25110.0,164.0,1.2,,,,,,,,,,,,,,,,33.5,22.2,0.5,8.6,2018-06-09 05:40:00
79,37.9,35.4,20828.0,417.0,38.8,42.9,25775.0,38.0,1.2,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.6,2018-06-09 05:45:00
80,37.2,37.5,12810.0,416.0,37.6,43.5,15547.0,153.0,1.0,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.6,2018-06-09 05:50:00
81,36.7,37.2,20736.0,419.0,38.1,40.4,25488.0,140.0,1.1,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.6,2018-06-09 05:55:00
82,37.3,37.5,21196.0,415.0,38.4,42.0,17402.0,119.0,0.2,,,,,,,,,,,,,,,,33.0,22.3,0.5,8.6,2018-06-09 06:00:00
83,37.2,35.6,13455.0,419.0,37.1,42.5,18744.0,88.0,1.5,,,,,,,,,,,,,,,,32.7,22.2,0.5,8.6,2018-06-09 06:05:00
84,36.9,35.7,18432.0,421.0,37.0,42.8,15775.0,60.0,2.0,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.6,2018-06-09 06:10:00
85,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 06:10:59
86,36.6,40.6,17233.0,417.0,37.0,43.7,15858.0,100.0,0.9,,,,,,,,,,,,,,,,32.9,22.2,0.5,8.6,2018-06-09 06:15:00
87,36.2,39.7,11151.0,418.0,35.3,47.2,15158.0,101.0,1.6,,,,,,,,,,,,,,,,32.5,22.2,0.5,8.6,2018-06-09 06:20:00
88,35.5,40.6,11151.0,419.0,34.8,47.4,18269.0,99.0,1.2,,,,,,,,,,,,,,,,32.2,22.2,0.5,8.6,2018-06-09 06:25:00
89,35.4,40.8,14192.0,424.0,36.3,48.6,18076.0,84.0,0.4,,,,,,,,,,,,,,,,32.4,22.2,0.5,8.6,2018-06-09 06:30:00
90,35.4,43.1,14745.0,425.0,35.1,50.7,24935.0,179.0,2.2,,,,,,,,,,,,,,,,32.0,22.2,0.5,8.6,2018-06-09 06:35:00
91,36.6,41.4,37416.0,426.0,36.9,45.0,25829.0,84.0,2.4,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.7,2018-06-09 06:40:00
92,37.5,39.0,34467.0,420.0,37.7,43.9,24704.0,79.0,0.6,,,,,,,,,,,,,,,,33.0,22.1,0.5,8.7,2018-06-09 06:45:00
93,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 06:46:00
94,38.2,38.7,34652.0,419.0,37.7,43.3,23270.0,87.0,1.5,,,,,,,,,,,,,,,,33.5,22.2,0.5,8.7,2018-06-09 06:50:00
95,38.4,36.3,25989.0,422.0,37.0,45.2,21470.0,93.0,1.6,,,,,,,,,,,,,,,,33.2,22.2,0.5,8.7,2018-06-09 06:55:00
96,37.9,37.0,25989.0,421.0,35.8,47.5,20727.0,92.0,2.5,,,,,,,,,,,,,,,,32.9,22.3,0.5,8.7,2018-06-09 07:00:00
97,37.8,40.1,25989.0,422.0,36.4,46.3,24629.0,185.0,1.5,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.6,2018-06-09 07:05:00
98,37.8,38.4,30597.0,426.0,36.0,47.8,24259.0,87.0,4.1,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.6,2018-06-09 07:10:00
99,37.7,39.9,30597.0,424.0,36.0,48.8,23236.0,115.0,1.1,,,,,,,,,,,,,,,,32.9,22.2,0.5,8.6,2018-06-09 07:15:00
100,38.0,39.3,20736.0,425.0,36.9,45.9,22345.0,112.0,1.1,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.6,2018-06-09 07:20:00
101,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 07:20:59
102,37.6,38.1,20736.0,424.0,36.3,46.6,17819.0,104.0,1.2,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.6,2018-06-09 07:25:00
103,37.3,40.9,13824.0,425.0,36.1,48.9,23858.0,197.0,1.6,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.6,2018-06-09 07:30:00
104,37.2,41.0,22210.0,424.0,37.1,46.4,23912.0,119.0,2.0,,,,,,,,,,,,,,,,33.2,22.2,0.5,8.5,2018-06-09 07:35:00
105,37.5,40.0,22763.0,423.0,36.8,45.0,18209.0,93.0,2.3,,,,,,,,,,,,,,,,33.2,22.2,0.5,8.5,2018-06-09 07:40:00
106,36.4,40.7,22579.0,422.0,35.6,48.9,22807.0,90.0,2.6,,,,,,,,,,,,,,,,32.5,22.2,0.5,8.5,2018-06-09 07:45:00
107,36.9,42.6,20459.0,423.0,37.2,47.5,23436.0,90.0,1.5,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.5,2018-06-09 07:50:00
108,37.0,42.5,21657.0,425.0,37.0,47.6,21536.0,135.0,1.5,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.5,2018-06-09 07:55:00
109,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 07:56:00
110,37.0,41.2,22763.0,422.0,37.1,47.2,23289.0,66.0,1.1,,,,,,,,,,,,,,,,32.9,22.2,0.5,8.5,2018-06-09 08:00:00
111,36.9,42.0,14929.0,424.0,36.9,46.9,21295.0,151.0,2.2,,,,,,,,,,,,,,,,32.9,22.2,0.5,8.5,2018-06-09 08:05:00
112,37.0,40.3,18892.0,426.0,37.0,46.3,19070.0,107.0,0.9,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.5,2018-06-09 08:10:00
113,37.0,41.0,15851.0,426.0,37.2,46.4,18733.0,124.0,0.9,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.6,2018-06-09 08:15:00
114,36.8,42.0,15206.0,426.0,36.3,47.8,18792.0,117.0,2.0,,,,,,,,,,,,,,,,33.0,22.2,0.5,8.6,2018-06-09 08:20:00
115,36.2,40.9,14745.0,426.0,35.4,48.5,18665.0,97.0,2.2,,,,,,,,,,,,,,,,32.2,22.2,0.5,8.6,2018-06-09 08:25:00
116,35.9,41.3,14469.0,431.0,34.8,51.0,17502.0,72.0,2.2,,,,,,,,,,,,,,,,32.2,22.2,0.5,8.6,2018-06-09 08:30:00
117,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 08:31:00
118,35.5,42.5,14469.0,430.0,34.8,51.0,17527.0,129.0,1.8,,,,,,,,,,,,,,,,32.0,22.2,0.5,8.6,2018-06-09 08:35:00
119,35.3,44.4,14469.0,428.0,34.9,51.5,16745.0,87.0,2.5,,,,,,,,,,,,,,,,32.0,22.2,0.5,8.7,2018-06-09 08:40:00
120,35.0,44.3,14469.0,426.0,34.7,52.5,16330.0,45.0,1.1,,,,,,,,,,,,,,,,31.7,22.2,0.5,8.7,2018-06-09 08:45:00
121,34.6,45.4,14469.0,429.0,34.4,52.4,15615.0,111.0,1.5,,,,,,,,,,,,,,,,31.6,22.2,0.5,8.7,2018-06-09 08:50:00
122,34.4,46.0,14469.0,432.0,34.6,52.2,14796.0,81.0,1.8,,,,,,,,,,,,,,,,31.5,22.2,0.5,8.7,2018-06-09 08:55:00
123,34.1,46.2,14469.0,430.0,34.1,55.9,13867.0,31.0,1.4,,,,,,,,,,,,,,,,31.2,22.2,0.4,8.7,2018-06-09 09:00:00
124,34.0,46.1,14469.0,430.0,34.4,51.6,12948.0,93.0,2.0,,,,,,,,,,,,,,,,31.2,22.2,0.4,8.7,2018-06-09 09:05:00
125,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 09:06:01
126,34.1,47.0,14469.0,430.0,34.7,50.3,13096.0,158.0,0.9,,,,,,,,,,,,,,,,31.5,22.2,0.5,8.6,2018-06-09 09:10:00
127,34.4,45.1,14469.0,432.0,34.3,51.1,12267.0,97.0,1.9,,,,,,,,,,,,,,,,31.5,22.2,0.5,8.7,2018-06-09 09:15:00
128,34.3,45.8,8801.0,432.0,33.8,51.8,11068.0,134.0,0.8,,,,,,,,,,,,,,,,31.6,22.2,0.5,8.7,2018-06-09 09:20:00
129,33.9,44.7,7004.0,432.0,33.7,52.1,9763.0,87.0,1.1,,,,,,,,,,,,,,,,31.2,22.0,0.4,8.7,2018-06-09 09:25:00
130,33.6,45.8,7004.0,432.0,33.6,53.3,8839.0,94.0,1.6,,,,,,,,,,,,,,,,31.0,22.1,0.4,8.8,2018-06-09 09:30:00
131,33.5,46.0,7050.0,433.0,33.4,51.6,8715.0,101.0,1.7,,,,,,,,,,,,,,,,31.0,22.1,0.5,8.8,2018-06-09 09:35:00
132,33.5,45.8,6266.0,432.0,33.4,52.4,8074.0,171.0,1.0,,,,,,,,,,,,,,,,31.0,22.2,0.4,8.8,2018-06-09 09:40:00
133,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 09:41:02
134,33.4,46.1,5552.0,434.0,33.3,52.3,6782.0,178.0,1.0,,,,,,,,,,,,,,,,31.1,22.1,0.5,8.8,2018-06-09 09:45:00
135,33.3,46.9,3432.0,432.0,33.0,53.6,4707.0,98.0,2.0,,,,,,,,,,,,,,,,30.8,22.2,0.5,8.8,2018-06-09 09:50:00
136,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,,2018-06-09 09:54:53
137,32.8,46.3,2488.0,421.0,32.5,54.8,2938.0,141.0,1.1,,,,,,,,,,,,,,,,30.5,22.1,0.4,8.8,2018-06-09 09:55:00
138,32.2,49.0,1866.0,424.0,31.9,56.1,2280.0,90.0,2.0,,,,,,,,,,,,,,,,30.2,22.1,0.4,8.8,2018-06-09 10:00:00
139,31.8,48.3,1578.0,423.0,31.3,57.8,1952.0,70.0,1.2,,,,,,,,,,,,,,,,30.0,21.7,0.5,8.8,2018-06-09 10:05:00
140,31.6,48.8,1555.0,424.0,31.0,59.6,1934.0,100.0,1.1,,,,,,,,,,,,,,,,29.7,21.7,0.5,8.8,2018-06-09 10:10:00
141,31.4,50.8,1313.0,425.0,30.7,60.8,1742.0,101.0,1.5,,,,,,,,,,,,,,,,29.6,22.2,0.4,8.9,2018-06-09 10:15:00
142,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 10:16:01
143,31.1,51.8,904.0,428.0,30.4,61.9,1129.0,50.0,1.4,,,,,,,,,,,,,,,,29.6,22.2,0.5,8.9,2018-06-09 10:20:00
144,30.9,53.5,573.0,429.0,30.2,63.5,780.0,115.0,0.5,,,,,,,,,,,,,,,,29.5,22.2,0.4,9.0,2018-06-09 10:25:00
145,30.6,54.5,408.0,430.0,30.0,63.5,557.0,49.0,0.6,,,,,,,,,,,,,,,,29.2,22.2,0.4,9.0,2018-06-09 10:30:00
146,30.2,55.4,263.0,432.0,29.9,63.3,333.0,93.0,0.2,,,,,,,,,,,,,,,,29.1,22.2,0.4,9.1,2018-06-09 10:35:00
147,30.1,56.4,220.0,435.0,29.7,64.0,192.0,94.0,0.0,,,,,,,,,,,,,,,,29.2,22.2,0.4,9.1,2018-06-09 10:40:00
148,29.7,57.3,87.0,435.0,29.6,64.2,94.0,268.0,0.2,,,,,,,,,,,,,,,,29.1,21.8,0.4,9.3,2018-06-09 10:45:00
149,29.6,58.0,39.0,435.0,29.4,64.5,43.0,126.0,0.8,,,,,,,,,,,,,,,,29.0,21.8,0.4,9.3,2018-06-09 10:50:00
150,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 10:51:00
151,29.4,58.0,15.0,439.0,29.3,65.5,16.0,89.0,0.9,,,,,,,,,,,,,,,,28.7,21.8,0.5,9.3,2018-06-09 10:55:00
152,29.2,59.8,5.0,440.0,29.2,65.7,3.0,163.0,1.4,,,,,,,,,,,,,,,,28.7,22.2,0.4,9.3,2018-06-09 11:00:00
153,28.9,59.0,2.0,437.0,29.1,68.8,0.0,88.0,0.4,,,,,,,,,,,,,,,,28.5,22.1,0.4,9.4,2018-06-09 11:05:00
154,28.8,60.5,0.0,437.0,29.0,67.3,0.0,89.0,0.5,,,,,,,,,,,,,,,,28.5,22.1,0.5,9.5,2018-06-09 11:10:00
155,28.7,61.7,0.0,437.0,28.8,68.1,0.0,93.0,0.5,,,,,,,,,,,,,,,,28.3,22.1,0.4,9.5,2018-06-09 11:15:00
156,28.6,62.0,0.0,436.0,28.8,68.2,0.0,93.0,0.9,,,,,,,,,,,,,,,,28.2,22.2,0.4,9.6,2018-06-09 11:20:00
157,28.4,62.4,0.0,436.0,28.7,68.7,0.0,78.0,1.4,,,,,,,,,,,,,,,,28.2,22.1,0.4,9.6,2018-06-09 11:25:00
158,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 11:26:01
159,28.3,62.4,0.0,433.0,28.5,69.3,0.0,102.0,0.2,,,,,,,,,,,,,,,,28.1,21.8,0.4,9.7,2018-06-09 11:30:00
160,28.2,63.1,0.0,435.0,28.5,69.3,0.0,73.0,1.3,,,,,,,,,,,,,,,,28.1,22.0,0.4,9.7,2018-06-09 11:35:00
161,28.1,63.6,0.0,433.0,28.4,70.2,0.0,58.0,0.7,,,,,,,,,,,,,,,,28.1,22.0,0.4,9.8,2018-06-09 11:40:00
162,28.0,63.5,0.0,436.0,28.4,70.2,0.0,148.0,0.1,,,,,,,,,,,,,,,,28.0,22.1,0.4,9.8,2018-06-09 11:45:00
163,28.0,64.3,0.0,436.0,28.3,71.1,0.0,194.0,0.0,,,,,,,,,,,,,,,,28.0,22.1,0.4,9.9,2018-06-09 11:50:00
164,28.0,64.3,0.0,436.0,28.2,70.8,0.0,228.0,0.0,,,,,,,,,,,,,,,,28.0,22.2,0.4,9.9,2018-06-09 11:55:00
165,27.9,63.7,0.0,439.0,28.1,71.0,0.0,188.0,0.3,,,,,,,,,,,,,,,,27.7,22.1,0.4,10.0,2018-06-09 12:00:00
166,,,,,,,,,,,,,,,,,,,,,,,,"[1, 100, 0]",,,,,2018-06-09 12:01:00
167,27.8,64.8,0.0,443.0,28.0,71.7,0.0,198.0,0.0,,,,,,,,,,,,,,,,27.7,21.8,0.4,10.1,2018-06-09 12:05:00
168,27.7,65.5,0.0,449.0,27.9,72.2,0.0,205.0,0.0,,,,,,,,,,,,,,,,27.5,22.0,0.4,10.1,2018-06-09 12:10:00
169,27.6,67.1,0.0,452.0,27.7,74.1,0.0,260.0,0.0,,,,,,,,,,,,,,,,27.6,22.2,0.4,10.1,2018-06-09 12:15:00
170,27.5,67.4,0.0,457.0,27.5,76.1,0.0,263.0,0.0,,,,,,,,,,,,,,,,27.5,22.2,0.4,10.2,2018-06-09 12:20:00
171,27.4,68.1,0.0,458.0,27.4,79.3,0.0,255.0,0.0,,,,,,,,,,,,,,,,27.3,22.1,0.4,10.2,2018-06-09 12:25:00
172,27.2,68.7,0.0,458.0,27.2,77.3,0.0,256.0,0.0,,,,,,,,,,,,,,,,27.3,22.2,0.4,10.2,2018-06-09 12:30:00
173,27.2,69.7,0.0,464.0,27.0,77.6,0.0,213.0,0.0,,,,,,,,,,,,,,,,27.2,22.2,0.4,10.2,2018-06-09 12:35:00
